id,cv_summary,work_experience_years,salary_expectation,residence_country_id,availability_date,education_level,is_hired,auto_contact_enabled,languages,work_experience,computer_skills
2f3a4b5c-6d7e-8f9a-0b1c-2d3e4f5a6b7c,"{""role"": ""Marketing Specialist"", ""typ_prace"": ""Práca v kancelárii""}",6,2500,550e8400-e29b-41d4-a716-446655440000,2025-02-01,university,false,true,"{""sk"": ""native"", ""en"": ""C1""}","{""current"": ""Senior Marketing"", ""years"": 6}","{""level"": ""advanced""}"
3a4b5c6d-7e8f-9a0b-1c2d-3e4f5a6b7c8d,"{""role"": ""Accountant"", ""typ_prace"": ""Práca v kancelárii""}",8,2700,550e8400-e29b-41d4-a716-446655440000,2025-01-25,university,false,true,"{""sk"": ""native"", ""en"": ""B2"", ""de"": ""B2""}","{""current"": ""Senior Accountant"", ""years"": 8}","{""level"": ""advanced""}"
4b5c6d7e-8f9a-0b1c-2d3e-4f5a6b7c8d9e,"{""role"": ""Full-Stack Developer"", ""typ_prace"": ""Práca v teréne""}",10,3600,550e8400-e29b-41d4-a716-446655440000,2025-01-10,university,false,true,"{""sk"": ""native"", ""en"": ""C2"", ""de"": ""C1""}","{""current"": ""Lead Developer"", ""years"": 10}","{""level"": ""expert""}"
5c6d7e8f-9a0b-1c2d-3e4f-5a6b7c8d9e0f,"{""role"": ""System Administrator"", ""typ_prace"": ""Práca v kancelárii""}",7,2900,550e8400-e29b-41d4-a716-446655440000,2025-02-05,university,false,true,"{""sk"": ""native"", ""en"": ""B2""}","{""current"": ""Senior SysAdmin"", ""years"": 7}","{""level"": ""advanced""}"
6d7e8f9a-0b1c-2d3e-4f5a-6b7c8d9e0f1a,"{""role"": ""Network Engineer"", ""typ_prace"": ""Práca v teréne""}",5,2400,550e8400-e29b-41d4-a716-446655440000,2025-03-20,university,false,true,"{""sk"": ""native"", ""en"": ""C1""}","{""current"": ""Network Admin"", ""years"": 5}","{""level"": ""intermediate""}"
7e8f9a0b-1c2d-3e4f-5a6b-7c8d9e0f1a2b,"{""role"": ""Security Specialist"", ""typ_prace"": ""Práca v kancelárii""}",6,3100,550e8400-e29b-41d4-a716-446655440000,2025-02-12,university,false,true,"{""sk"": ""native"", ""en"": ""C2"", ""de"": ""B1""}","{""current"": ""InfoSec Lead"", ""years"": 6}","{""level"": ""expert""}"
8f9a0b1c-2d3e-4f5a-6b7c-8d9e0f1a2b3c,"{""role"": ""Business Analyst"", ""typ_prace"": ""Práca v kancelárii""}",4,2100,550e8400-e29b-41d4-a716-446655440000,2025-04-15,university,false,true,"{""sk"": ""native"", ""en"": ""B2""}","{""current"": ""BA Team"", ""years"": 4}","{""level"": ""intermediate""}"
9a0b1c2d-3e4f-5a6b-7c8d-9e0f1a2b3c4d,"{""role"": ""Elektrikár"", ""typ_prace"": ""Práca v teréne""}",10,2800,550e8400-e29b-41d4-a716-446655440000,2025-01-15,vocational,false,true,"{""sk"": ""native"", ""de"": ""B1""}","{""current"": ""Majster elektrikár"", ""years"": 10}","{""level"": ""basic""}"
0b1c2d3e-4f5a-6b7c-8d9e-0f1a2b3c4d5e,"{""role"": ""Murár"", ""typ_prace"": ""Práca v teréne""}",12,3000,550e8400-e29b-41d4-a716-446655440000,2025-02-01,vocational,false,true,"{""sk"": ""native"", ""de"": ""A2""}","{""current"": ""Vedúci murár"", ""years"": 12}","{""level"": ""basic""}"
1c2d3e4f-5a6b-7c8d-9e0f-1a2b3c4d5e6f,"{""role"": ""Stolár"", ""typ_prace"": ""Práca v kancelárii""}",8,2400,550e8400-e29b-41d4-a716-446655440000,2025-03-01,vocational,false,true,"{""sk"": ""native"", ""de"": ""B2""}","{""current"": ""Seniorný stolár"", ""years"": 8}","{""level"": ""basic""}"
2d3e4f5a-6b7c-8d9e-0f1a-2b3c4d5e6f7a,"{""role"": ""Zvárač"", ""typ_prace"": ""Práca v teréne""}",15,3400,550e8400-e29b-41d4-a716-446655440000,2025-01-20,vocational,false,true,"{""sk"": ""native"", ""de"": ""C1""}","{""current"": ""Majster zvárač"", ""years"": 15}","{""level"": ""basic""}"
3e4f5a6b-7c8d-9e0f-1a2b-3c4d5e6f7a8b,"{""role"": ""Inštalatér"", ""typ_prace"": ""Práca v teréne""}",9,2600,550e8400-e29b-41d4-a716-446655440000,2025-02-10,vocational,false,true,"{""sk"": ""native"", ""de"": ""B1""}","{""current"": ""Seniorný inštalatér"", ""years"": 9}","{""level"": ""basic""}"
4f5a6b7c-8d9e-0f1a-2b3c-4d5e6f7a8b9c,"{""role"": ""Maliar"", ""typ_prace"": ""Práca v kancelárii""}",6,1900,550e8400-e29b-41d4-a716-446655440000,2025-03-15,secondary,false,true,"{""sk"": ""native"", ""de"": ""A2""}","{""current"": ""Maliar a natierač"", ""years"": 6}","{""level"": ""basic""}"
5a6b7c8d-9e0f-1a2b-3c4d-5e6f7a8b9c0d,"{""role"": ""Zámočník"", ""typ_prace"": ""Práca v teréne""}",11,2900,550e8400-e29b-41d4-a716-446655440000,2025-01-25,vocational,false,true,"{""sk"": ""native"", ""de"": ""B2""}","{""current"": ""Majster zámočník"", ""years"": 11}","{""level"": ""basic""}"
6b7c8d9e-0f1a-2b3c-4d5e-6f7a8b9c0d1e,"{""role"": ""Klampiar"", ""typ_prace"": ""Práca v teréne""}",7,2200,550e8400-e29b-41d4-a716-446655440000,2025-02-20,vocational,false,true,"{""sk"": ""native"", ""de"": ""A2""}","{""current"": ""Klampiar-pokrývač"", ""years"": 7}","{""level"": ""basic""}"
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,"{""role"": ""Tesár"", ""typ_prace"": ""Práca v teréne""}",10,2700,550e8400-e29b-41d4-a716-446655440000,2025-03-01,vocational,false,true,"{""sk"": ""native"", ""de"": ""B1""}","{""current"": ""Vedúci tesár"", ""years"": 10}","{""level"": ""basic""}"
8d9e0f1a-2b3c-4d5e-6f7a-8b9c0d1e2f3a,"{""role"": ""Mechanik"", ""typ_prace"": ""Práca v kancelárii""}",8,2500,550e8400-e29b-41d4-a716-446655440000,2025-02-05,vocational,false,true,"{""sk"": ""native"", ""de"": ""B2""}","{""current"": ""Autoservis vedúci"", ""years"": 8}","{""level"": ""intermediate""}"
9e0f1a2b-3c4d-5e6f-7a8b-9c0d1e2f3a4b,"{""role"": ""Stavbyvedúci"", ""typ_prace"": ""Práca v teréne""}",14,3200,550e8400-e29b-41d4-a716-446655440000,2025-01-10,university,false,true,"{""sk"": ""native"", ""de"": ""C1"", ""en"": ""B2""}","{""current"": ""Senior stavbyvedúci"", ""years"": 14}","{""level"": ""advanced""}"
0f1a2b3c-4d5e-6f7a-8b9c-0d1e2f3a4b5c,"{""role"": ""Elektrikár"", ""typ_prace"": ""Práca v kancelárii""}",5,1800,550e8400-e29b-41d4-a716-446655440000,2025-04-01,vocational,false,true,"{""sk"": ""native"", ""de"": ""A2""}","{""current"": ""Junior elektrikár"", ""years"": 5}","{""level"": ""basic""}"
1a2b3c4d-5e6f-7a8b-9c0d-0e1f2a3b4c5d,"{""role"": ""Murár"", ""typ_prace"": ""Práca v teréne""}",4,1600,550e8400-e29b-41d4-a716-446655440000,2025-05-01,secondary,false,true,"{""sk"": ""native""}","{""current"": ""Pomocný murár"", ""years"": 4}","{""level"": ""basic""}"
2b3c4d5e-6f7a-8b9c-0d1e-1f2a3b4c5d6e,"{""role"": ""Zvárač"", ""typ_prace"": ""Práca v teréne""}",2,1400,550e8400-e29b-41d4-a716-446655440000,2025-06-15,vocational,false,true,"{""sk"": ""native"", ""de"": ""A1""}","{""current"": ""Začínajúci zvárač"", ""years"": 2}","{""level"": ""basic""}"
3c4d5e6f-7a8b-9c0d-1e2f-2a3b4c5d6e7f,"{""role"": ""Inštalatér"", ""typ_prace"": ""Práca v kancelárii""}",6,2000,550e8400-e29b-41d4-a716-446655440000,2025-03-10,vocational,false,true,"{""sk"": ""native"", ""de"": ""B1""}","{""current"": ""Inštalatér stredný"", ""years"": 6}","{""level"": ""basic""}"
4d5e6f7a-8b9c-0d1e-2f3a-3b4c5d6e7f8a,"{""role"": ""Stolár"", ""typ_prace"": ""Práca v teréne""}",1,1000,550e8400-e29b-41d4-a716-446655440000,2025-07-01,vocational,false,true,"{""sk"": ""native""}","{""current"": ""Učeň stolár"", ""years"": 1}","{""level"": ""basic""}"
5e6f7a8b-9c0d-1e2f-3a4b-4c5d6e7f8a9b,"{""role"": ""Kvalitár"", ""typ_prace"": ""Práca v kancelárii""}",7,2300,550e8400-e29b-41d4-a716-446655440000,2025-02-15,vocational,false,true,"{""sk"": ""native"", ""de"": ""B2"", ""en"": ""B1""}","{""current"": ""QC Inspector"", ""years"": 7}","{""level"": ""intermediate""}"
6f7a8b9c-0d1e-2f3a-4b5c-5d6e7f8a9b0c,"{""role"": ""Mechanik"", ""typ_prace"": ""Práca v teréne""}",4,1700,550e8400-e29b-41d4-a716-446655440000,2025-04-10,vocational,false,true,"{""sk"": ""native"", ""de"": ""A2""}","{""current"": ""Mechanik junior"", ""years"": 4}","{""level"": ""basic""}"
7a8b9c0d-1e2f-3a4b-5c6d-6e7f8a9b0c1d,"{""role"": ""Maliar"", ""typ_prace"": ""Práca v teréne""}",2,1300,550e8400-e29b-41d4-a716-446655440000,2025-06-01,secondary,false,true,"{""sk"": ""native""}","{""current"": ""Junior maliar"", ""years"": 2}","{""level"": ""basic""}"
8b9c0d1e-2f3a-4b5c-6d7e-7f8a9b0c1d2e,"{""role"": ""Zámočník"", ""typ_prace"": ""Práca v kancelárii""}",5,1900,550e8400-e29b-41d4-a716-446655440000,2025-03-25,vocational,false,true,"{""sk"": ""native"", ""de"": ""B1""}","{""current"": ""Zámočník stredný"", ""years"": 5}","{""level"": ""basic""}"
